city,lat_lngs,lat,long,temp,max_temp,humidity,wind_speed,clouds
pergamino,"(-33.61223814064998, -60.654441699570754)",-33.61223814064998,-60.654441699570754,65.53,66,53,8.01,85
georgetown,"(-5.813281486070025, -10.417683385388216)",-5.813281486070025,-10.417683385388216,84.2,84.2,79,13.87,75
peniche,"(40.828695006998146, -15.71213045609079)",40.828695006998146,-15.71213045609079,61.39,63,93,11.41,75
inta,"(65.43336677776833, 59.7229585794764)",65.43336677776833,59.7229585794764,30.68,30.68,76,10.54,0
bluff,"(-57.22623057578838, 169.02837898138887)",-57.22623057578838,169.02837898138887,60.74,60.74,92,4.94,0
grand river south east,"(-21.708220578816977, 69.13734538863454)",-21.708220578816977,69.13734538863454,52.59,55.4,57,3.36,0
chokurdakh,"(83.4589593668, 146.23962820283106)",83.4589593668,146.23962820283106,24.92,24.92,96,8.43,100
taksimo,"(57.160751612176966, 115.0931127355247)",57.160751612176966,115.0931127355247,27.08,27.08,81,2.93,100
cape town,"(-47.555083988364075, 8.240567269121385)",-47.555083988364075,8.240567269121385,61.72,64.99,48,3.36,0
nome,"(69.12429092040966, -163.53709217895812)",69.12429092040966,-163.53709217895812,78.75,82.4,74,12.75,90
rio gallegos,"(-49.671585256568015, -70.49025328028982)",-49.671585256568015,-70.49025328028982,54.61,57.2,50,6.93,1
lamar,"(38.040935803242576, -102.45164041492629)",38.040935803242576,-102.45164041492629,51.35,51.8,93,10.29,90
hobyo,"(2.918757997453355, 55.61015886946376)",2.918757997453355,55.61015886946376,84.14,84.14,69,14.03,50
hermanus,"(-73.30037522814676, 10.849696039218628)",-73.30037522814676,10.849696039218628,59,59,74,1.99,100
cabo san lucas,"(10.058198174004389, -115.08087568532021)",10.058198174004389,-115.08087568532021,83.59,84.99,45,3.2,1
punta arenas,"(-89.77184713348485, -98.38940471393856)",-89.77184713348485,-98.38940471393856,80,80,80,1.21,91
geraldton,"(-34.37120983466923, 85.16406773185992)",-34.37120983466923,85.16406773185992,46.4,46.4,31,10.29,75
nanortalik,"(53.364412437589834, -40.50804143847057)",53.364412437589834,-40.50804143847057,42.56,42.56,76,8.08,0
katsuura,"(26.7887531220898, 146.89126528560183)",26.7887531220898,146.89126528560183,50,50,71,9.17,20
gaoual,"(11.5452980365164, -13.179395879636786)",11.5452980365164,-13.179395879636786,108.44,108.44,14,7.9,35
karratha,"(-15.47143450454962, 112.31554615909948)",-15.47143450454962,112.31554615909948,80.54,80.54,25,10.49,0
provideniya,"(50.14060900833627, -172.01938393254642)",50.14060900833627,-172.01938393254642,26.36,26.36,64,14.09,100
tasiilaq,"(62.281015693515485, -33.214008279878186)",62.281015693515485,-33.214008279878186,39.2,39.2,64,17.22,20
mataura,"(-65.68493300643568, -162.77380137514183)",-65.68493300643568,-162.77380137514183,46.99,46.99,98,2.77,98
puerto escondido,"(10.737428341926147, -98.66888585861157)",10.737428341926147,-98.66888585861157,79,79,85,5.99,84
avarua,"(-20.98712150802396, -156.29566287359708)",-20.98712150802396,-156.29566287359708,75.2,75.2,88,1.12,35
ponta do sol,"(22.41663766184655, -38.60580824000033)",22.41663766184655,-38.60580824000033,82.87,86,74,4.7,75
ronneby,"(56.06576618751279, 15.132692847627652)",56.06576618751279,15.132692847627652,42.76,46.4,61,5.82,0
pevek,"(82.02494161795076, 174.24974455868687)",82.02494161795076,174.24974455868687,16.1,16.1,87,4.36,1
carnarvon,"(-22.443238940321578, 97.67417781362144)",-22.443238940321578,97.67417781362144,68.12,68.12,43,20.11,97
lixourion,"(38.30987418886804, 19.515033481697657)",38.30987418886804,19.515033481697657,56.44,57.2,76,16.11,40
roald,"(68.22406565856119, 3.858303999908344)",68.22406565856119,3.858303999908344,35.53,39.2,80,3.36,40
pleshanovo,"(52.943303670002024, 53.15012356759303)",52.943303670002024,53.15012356759303,48.2,48.2,57,4.47,98
kapaa,"(9.100956006388799, -176.29235287297573)",9.100956006388799,-176.29235287297573,75.09,77,64,5.82,1
churapcha,"(63.794215509292684, 132.66179648742218)",63.794215509292684,132.66179648742218,32.3,32.3,77,4.68,99
riviere-au-renard,"(49.118878494097174, -63.86643181694865)",49.118878494097174,-63.86643181694865,48.2,48.2,93,2.24,75
rikitea,"(-21.210200947233616, -113.9219111580829)",-21.210200947233616,-113.9219111580829,76.58,76.58,82,16.58,3
shwebo,"(22.40310090968967, 95.98324132397948)",22.40310090968967,95.98324132397948,94.22,94.22,16,4.81,23
hithadhoo,"(-10.061707328103779, 71.48970633872113)",-10.061707328103779,71.48970633872113,85.76,85.76,74,9.62,29
kahului,"(27.63188616522504, -152.56305633963814)",27.63188616522504,-152.56305633963814,74.52,77,60,4.23,20
luderitz,"(-27.081737273687096, 11.23023236675894)",-27.081737273687096,11.23023236675894,57.2,57.2,93,5.82,0
monte alegre,"(-1.9466037852674845, -54.20676346338351)",-1.9466037852674845,-54.20676346338351,58.96,62.01,93,14.99,75
vila velha,"(-30.577693580230786, -23.240509532767163)",-30.577693580230786,-23.240509532767163,58.06,61,81,10.29,40
airai,"(16.83102006104805, 137.83352636684646)",16.83102006104805,137.83352636684646,75.14,75.14,73,7.74,76
atuona,"(5.757582985941852, -134.7831724409745)",5.757582985941852,-134.7831724409745,83.06,83.06,76,17.78,100
narsaq,"(84.00412993997372, -61.67120291752916)",84.00412993997372,-61.67120291752916,53.6,53.6,46,10.29,20
paciran,"(-5.03173430676442, 113.0316915297642)",-5.03173430676442,113.0316915297642,76.76,76.76,90,3.98,35
buloh kasap,"(2.7882445684336403, 102.71845903434786)",2.7882445684336403,102.71845903434786,83.42,83.42,74,12.41,100
upernavik,"(79.59502643231886, -60.060553055422645)",79.59502643231886,-60.060553055422645,29.78,29.78,95,3.71,17
ahipara,"(-30.709390409174247, 167.3352717202028)",-30.709390409174247,167.3352717202028,55,55,100,20.42,100
saskylakh,"(71.4631589885627, 117.06518024425071)",71.4631589885627,117.06518024425071,13.4,13.4,96,7.47,95
vanderhoof,"(53.693002320051335, -124.83345658827102)",53.693002320051335,-124.83345658827102,58.04,58.04,44,3.53,53
marienburg,"(11.270584257528824, -53.9428720278119)",11.270584257528824,-53.9428720278119,49.98,53.01,57,5.82,0
japura,"(-0.06825773793170242, -69.02535509121435)",-0.06825773793170242,-69.02535509121435,79.82,79.82,73,0.76,31
rexburg,"(44.632966425335354, -111.23262414356128)",44.632966425335354,-111.23262414356128,48.78,51.8,81,4.7,90
barrow,"(81.47715192853616, -160.55990820877312)",81.47715192853616,-160.55990820877312,62.72,62.72,37,10.51,43
pekan,"(3.3834801225223146, 104.6103704370874)",3.3834801225223146,104.6103704370874,80.15,80.6,94,3.36,75
ouallam,"(14.749533376653858, 2.6113555956833068)",14.749533376653858,2.6113555956833068,108.44,108.44,7,6.04,49
port hedland,"(-24.845554815784354, 119.9222018720526)",-24.845554815784354,119.9222018720526,58.17,64.99,54,3.36,0
lakes entrance,"(-39.8106127699706, 148.245258664704)",-39.8106127699706,148.245258664704,79.05,80.6,39,3.36,1
khatanga,"(76.10794705544251, 107.19512455657917)",76.10794705544251,107.19512455657917,11.6,11.6,95,4.65,68
hervey bay,"(-24.105076199503216, 155.74383439571733)",-24.105076199503216,155.74383439571733,81.97,84.99,61,5.82,20
bredasdorp,"(-73.27027380481033, 18.910468187931457)",-73.27027380481033,18.910468187931457,55.4,55.4,82,3.36,100
lithgow,"(-33.412486172728975, 150.58595772875032)",-33.412486172728975,150.58595772875032,47.21,50,87,9.17,0
riverton,"(-46.96922458291382, 167.38842060477606)",-46.96922458291382,167.38842060477606,50,55,66,5.82,90
palmares do sul,"(-31.016958916623402, -50.57302145236412)",-31.016958916623402,-50.57302145236412,81.8,81.8,60,6.2,100
arraial do cabo,"(-47.533211827455624, -26.324844440364615)",-47.533211827455624,-26.324844440364615,76.3,78.8,65,6.93,75
torbay,"(47.62355211201918, -39.8546289411523)",47.62355211201918,-39.8546289411523,43.88,46.99,70,24.16,75
strezhevoy,"(61.62189362433705, 78.31520731624772)",61.62189362433705,78.31520731624772,41,41,86,6.71,0
savinka,"(49.92488856449282, 47.28895743594882)",49.92488856449282,47.28895743594882,67.4,67.4,56,5.59,80
saldanha,"(-42.94051530704755, -5.017480923770108)",-42.94051530704755,-5.017480923770108,61.1,61.1,69,16.17,99
zhuzhou,"(27.744357075126203, 113.2584003460102)",27.744357075126203,113.2584003460102,57.2,57.2,93,6.71,90
puerto ayora,"(-4.076117296011844, -102.07713242539555)",-4.076117296011844,-102.07713242539555,79,79,85,5.99,84
avera,"(-27.368749652724972, -156.00902407790133)",-27.368749652724972,-156.00902407790133,84.33,87.8,42,5.59,1
verkhovye,"(52.66033685355558, 37.32847358700923)",52.66033685355558,37.32847358700923,60.38,60.38,76,7.63,23
gainesville,"(29.184534514071373, -83.08122679002535)",29.184534514071373,-83.08122679002535,88.65,91.99,35,8.05,40
fortuna,"(36.19536073978762, -132.23417688394773)",36.19536073978762,-132.23417688394773,67.5,72,82,3.36,20
lavrentiya,"(70.07580959692152, -169.39689355098452)",70.07580959692152,-169.39689355098452,19.7,19.7,97,8.01,85
cedar city,"(38.907679738281075, -113.41808464002096)",38.907679738281075,-113.41808464002096,60.8,60.8,31,13.87,90
